Name,Year,Duration,Genre,Votes,Director,Actor 1,Actor 2,Actor 3,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,Revenue_Millions,Rating
Bewafai,1985,145,"Drama, Romance",58,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure,31,32,843,4875,2165,26,593,206,50.55,5.6
Bewaffa Se Waffa,1992,172,Romance,75,Saawan Kumar Tak,Vivek Mushran,Juhi Chawla,Nagma,87,6,849,11375,2413,91,841,295,71.98,4.9
Bewajah,2017,127,Thriller,30,Jagat Joon,Anshu,Vishvendra Singh,Dhirendra Gupta,126,79,12000,44198,12574,251,506,11000,33.63,6.3
Bewakoofiyaan,2014,119,"Comedy, Drama, Romance",3938,Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor,285,160,852,115650,2603,1033,521,4000,90.76,5.5
Bewaqoof,1960,160,Musical,35,I.S. Johar,Kishore Kumar,Mala Sinha,I.S. Johar,23,2,927,3229,4990,20,912,83,6.85,5.2
Beyond Blue: An Unnerving Tale of a Demented Mind,2015,99,"Crime, Fantasy, Mystery",7,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi,143,892,783,30628,2930,471,595,937,3.9,6.7
Beyond Bollywood,2013,64,"Documentary, Biography, Drama",58,Adam Dow,Ruchika Muchhala,Pooja Kasekar,Harry Key,376,2000,14000,96480,25143,181,11000,21000,,6.1
Beyond the Clouds,2017,120,"Drama, Family",2148,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose,97,460,14000,14982,16090,128,1000,507,0.05,7
Bezubaan,1982,137,"Drama, Romance",70,Bapu,Shubham Kumar Singh,Shashi Kapoor,Reena Roy,28,162,2000,5841,4351,57,878,942,71.59,7.3
Bezubaan Ishq,2015,128,"Musical, Romance",68,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani,124,911,5000,69676,5954,131,234,31000,41.57,4
Bhaag Johnny,2015,118,"Action, Fantasy, Thriller",963,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi,49,138,908,2395,3204,17,581,636,16.68,5.2
Bhaag Milkha Bhaag,2013,186,"Biography, Drama, Sport",62636,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,16,27,279,5911,705,76,128,690,21,8.2
Bhaagte Raho,2018,115,Comedy,18,Praful D.S. Tiwari,Riya Deepsi,Mukesh Fotwani,Dinesh Hingoo,7,535,668,1084,2204,11,535,437,88.5,3.6
Bhabhi,1991,145,"Comedy, Drama, Family",131,Kishore Vyas,Bhanupriya,Govinda,Juhi Chawla,252,179,17000,33107,33747,128,10000,27000,,4.1
Bhabhi,1957,165,Drama,47,R. Krishnan,S. Panju,Balraj Sahni,Pandharibai,163,19,1000,33958,3962,163,897,37000,18.33,6.7
Bhabhi Ki Chudiyan,1961,168,"Drama, Family",30,Sadashiv J. Row Kavi,Balraj Sahni,Meena Kumari,Sailesh Kumar,52,167,966,15310,4830,38,807,3000,84.26,5.4
Bhabhipedia,2018,107,"Comedy, Romance",84,Saumyy Shivhare,Jay Solanki,Hrishitaa Bhatt,Rajkumar Kanojia,125,41,45000,55398,49847,418,1000,891,,8.3
Bhadaas,2013,89,Thriller,26,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik,156,119,11000,30119,12254,263,592,455,,2.5
Bhagam Bhag,1956,101,"Action, Comedy, Crime",21,Master Bhagwan,Kishore Kumar,Shashikala,Smriti Biswas,271,293,18000,109620,32474,268,12000,15000,7.69,6
Bhagam Bhag,2006,157,"Comedy, Drama, Thriller",11651,Priyadarshan,Akshay Kumar,Govinda,Paresh Rawal,45,269,1000,5431,2557,50,489,204,150.17,6.5
Bhagawat Ek Jung,2001,113,Action,18,Deepak Pawar,Mithun Chakraborty,Manvi Goswami,Mohan Joshi,84,126,2000,22844,4681,140,989,876,0.3,4.6
Bhageeratha,2005,158,"Action, Drama",227,Rasool Ellore,Ravi Teja,Shriya Saran,Brahmanandam,70,25,1000,14637,3243,100,670,619,,5.6
Bhagmati,2005,160,"Animation, Drama, History",57,Ashok Kaul,Tabu,Milind Soman,J.V. Somayajulu,51,48,1000,11709,4971,101,957,650,,6.1
Bhagwaan Dada,1986,147,"Drama, Thriller",169,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi,73,41,512,10100,1523,59,481,153,6.88,4.3
Bhagwan Parshuram,1970,136,Drama,10,Babubhai Mistry,Niranjan Sharma,Shalini,Trilok Kapoor,365,192,3000,72552,5737,374,859,13000,,8.7
Bhagwan Shri Krishna,1985,138,"Action, Adventure, Fantasy",10,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai,18,9,23000,2265,24436,37,284,839,25.03,6
Bhagyawan,1994,136,Drama,68,S.K. Subash,Govinda,Juhi Chawla,Pran,10,18,742,2541,1088,47,83,408,14.17,4.4
Bhai,1997,147,"Action, Drama",353,Deepak S. Shivdasani,Sunil Shetty,Pooja Batra,Sonali Bendre,16,6,22000,2919,23769,50,670,181,70.27,5.1
Bhai Bahen,1969,151,"Drama, Family",24,A. Bhimsingh,Ashok Kumar,Sunil Dutt,Nutan,196,88,12000,80574,14699,157,854,12000,49,4.9
Bhai Bhai,1997,172,Action,24,Sikander Bharti,Manek Bedi,Samrat Mukherjee,Megha,212,6000,23000,214091,24263,330,713,13000,11.23,3.8
Bhai Ho To Aisa,1972,131,"Action, Comedy, Drama",37,Manmohan Desai,Jeetendra,Hema Malini,Shatrughan Sinha,445,181,15000,386217,28011,553,13000,26000,70.22,5.7
Bhai Thakur,2000,118,"Action, Drama",9,William Hunt,Raja,Willy,Dharmendra,223,883,11000,837759,12643,900,504,17000,59.62,3.2
Bhai-Bahen,1959,136,"Drama, Family",5,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana,214,123,14000,193962,16196,805,991,5000,5.98,6
Bhai-Bhai,1956,164,Drama,15,M.V. Raman,Ashok Kumar,Kishore Kumar,Nimmi,216,452,20000,32513,21195,119,732,15000,0.13,5.8
Bhairav,2001,133,Action,29,T.L.V. Prasad,Hemant Birje,Mithun Chakraborty,Jack Gaud,36,61,20000,14786,22040,103,797,638,100.02,4.6
Bhairava Dweepam,1994,162,"Action, Adventure, Comedy",533,Singeetam Srinivasa Rao,Nandamuri Balakrishna,Roja,Satyanarayana Kaikala,53,12,327,3914,1509,47,281,153,,7.8
Bhairavi,1996,145,"Drama, Musical, Romance",35,Aruna Raje,Ashwini Bhave,Sridhar,Manohar Singh,45,4,29000,20163,63194,71,22000,1000,,5.3
Bhakta Siriyala,1980,154,"Biography, Drama, Musical",19,Hunsur Krishnamurthy,Arathi,K.S. Ashwath,Sharapanjara Iyengar,47,258,721,3174,2453,19,463,376,54.41,7.1
Bhakti Mein Shakti,1979,140,"Adventure, Drama, History",13,Dara Singh,Dara Singh,Satish Kaul,Bharat Bhushan,118,300,805,17373,1618,148,539,767,1.98,7.5
Bhala Manus,1976,138,"Drama, Romance",11,Vishwamitra,Randhir Kapoor,Neetu Singh,Aruna Irani,55,3,556,6263,1059,33,155,765,3.03,4.6
Bhalevadivi Basu,2001,156,"Family, Comedy",35,P.A. Arun Prasad,Nandamuri Balakrishna,Anjala Zaveri,Shilpa Shetty Kundra,314,101,129,209396,214,580,25,11000,104.37,4.6
Bhamashah,2017,83,Drama,11,Vikram Nath Gupta,Dharmendra Gohil,Daya Shankar Pandey,Manoj Shah,75,42,436,47383,1203,132,241,1000,81.56,6.2
Bhangarh: The Last Episode,2017,84,Horror,15,Anil Bajpai,Prashant Barot,Deepanshu Malik,Rumana Molla,180,529,820,52894,1484,185,201,55000,93.75,5.5
Bhangover,2017,115,Comedy,34,Mahender Singh,Prerika Arora,Aradhya Taing,Anmol Khatri,129,24,967,121937,3152,431,912,15000,177.34,5.1
Bhangra Paa Le,2020,131,"Comedy, Drama, Music",287,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar,61,25,329,15448,775,174,134,15000,0.09,6
Bhanwar,1976,135,"Drama, Romance",24,Bhappi Sonie,Ashok Kumar,Randhir Kapoor,Parveen Babi,98,2,591,41239,1729,166,489,887,,6.2
Bhanwarey,2017,120,Comedy,58,Shaurya Singh,Shaurya Singh,Karhan Dev,Jashan Singh Kohli,159,118,11000,28621,12876,91,1000,11000,95,6.8
Bharat,2019,150,"Action, Comedy, Drama",22598,Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover,97,221,240,33287,664,201,226,739,81.16,4.9
Bharat Bhagya Vidhata,2002,160,"Action, Adventure, Thriller",13,Ashok Tyagi,Chandrachur Singh,Flora Saini,Shatrughan Sinha,95,12,962,25462,4239,200,844,804,16.17,5.7
Bharat Milap,1942,170,"Adventure, Drama, History",9,Vijay Bhatt,Prem Adib,K.B. Athavale,Umakant Desai,423,1000,19000,60926,38494,302,17000,23000,11.33,6.6
Bhasmasur,2017,74,Drama,132,Nishil Sheth,Imran Rasheed,Mittal Chouhan,Trimala Adhikari,203,39,26000,82804,39989,154,11000,15000,23.21,6.8
Bhavani Junction,1985,128,"Action, Crime, Thriller",48,H. Dinesh,Shashi Kapoor,Shatrughan Sinha,Zeenat Aman,75,87,1000,35018,3148,180,826,716,215.4,5.8
Bhavesh Joshi Superhero,2018,154,"Action, Crime, Drama",7479,Vikramaditya Motwane,Harshvardhan Kapoor,Priyanshu Painyuli,Ashish Verma,18,53,2000,2253,4221,111,595,158,54.01,7.6
Bhavnao Ko Samjho,2010,114,"Action, Comedy, Drama",76,Sunil Pal,Madhu Acharya,Nitin Anand,Dinesh Bawara,22,688,638,1547,788,50,50,104,125.32,4.3
Bhavni Bhavai,1981,135,"Comedy, Drama",114,Ketan Mehta,Smita Patil,Naseeruddin Shah,Mohan Gokhale,41,37,3000,8176,5568,77,968,272,36.58,6.6
Bhayaanak,1998,105,Horror,6,R. Mittal,Anil Dhawan,Tina Ghai,Bharat Kapoor,115,13,203,21394,773,147,172,11000,41.78,4.3
Bhayaanak Mahal,1988,113,Horror,8,Baby,Babu Antony,Ravi,Jaya Rekha,98,144,939,16831,2453,54,875,687,35.71,3.4
Bhayaanak Panjaa,2003,95,Horror,24,R. Mittal,Birbal,Shail Chaturvedi,Anil Dhawan,149,17,14000,48873,14617,105,257,11000,19.06,4.9
Bheegi Palkein,1982,142,Romance,18,Sisir Misra,Raj Babbar,Smita Patil,Dina Pathak,78,2,809,5166,1651,27,521,815,,6.4
Bheegi Raat,1965,157,"Comedy, Drama, Romance",40,Kalidas,Ashok Kumar,Meena Kumari,Pradeep Kumar,288,108,23000,83171,24134,231,820,17000,66.95,6.2
Bheja Fry,2007,95,"Comedy, Drama",11444,Sagar Ballary,Vinay Pathak,Rajat Kapoor,Sarika,27,88,957,12278,4629,71,821,758,1.36,7.6
Bheja Fry 2,2011,129,"Comedy, Drama",1302,Sagar Ballary,Vinay Pathak,Kay Kay Menon,Minissha Lamba,275,11000,385,67893,1205,163,223,18000,,4.7
Bhikharan,1935,143,Drama,9,Premankur Atorthy,Rattan Bai,Master Vinayak,I.A. Hafizji,60,8,533,25086,1254,87,219,1000,0.16,6.2
Bhindi Baazaar,2011,157,"Crime, Drama, Thriller",673,Ankush Bhatt,Kay Kay Menon,Prashant Narayanan,Pawan Malhotra,539,737,34000,533607,72115,692,22000,117000,3.4,6.1
BHK Bhalla@Halla.Kom,2016,122,Comedy,74,Rakesh Chaturvedi Om,Ujjwal Rana,Inshika Bedi,Manoj Pahwa,84,98,2000,52533,3994,235,826,10000,0.64,5.9
Bhobhar - The Live Ash,2012,100,"Drama, Family, Romance",9,Gajendra Shanker Shrotriya,Vinod Acharya,Vasudev Bhatt,Vishal Bhatt,85,52,711,13065,3162,253,490,897,52.69,4.9
Bhonsle,2018,128,Drama,1257,Devashish Makhija,Manoj Bajpayee,Santosh Juvekar,Ipshita Chakraborty Singh,111,52,15000,11983,16692,147,1000,365,133.38,7
Bhooka Sher,1984,165,Action,12,I.V. Sasi,Aachi Manorama,Rajinikanth,Seema,466,140,19000,149066,46241,517,14000,24000,3.36,4.8
Bhooka Sher,2001,109,Action,23,Hemant Birje,Dharmendra,Shakti Kapoor,Sikander Khan,16,18,670,2295,1562,40,419,284,9.35,5
Bhookailas,1958,174,"Drama, Musical",143,K. Shankar,N.T. Rama Rao,Akkineni Nageshwara Rao,Jamuna,234,14000,11000,661017,12906,771,783,16000,44.8,7.1
Bhool Bhulaiyaa,2007,159,"Comedy, Horror, Mystery",22777,Priyadarshan,Akshay Kumar,Vidya Balan,Shiney Ahuja,121,163,1000,30058,2505,236,409,800,13.77,7.3
Bhoomi,2017,136,"Action, Crime, Drama",1755,Omung Kumar,Sharad Kelkar,Sunny Leone,Aditi Rao Hydari,185,438,12000,887467,13184,916,826,40000,53.36,5.3
Bhoot,2003,113,"Horror, Mystery, Thriller",3476,Ram Gopal Varma,Ajay Devgn,Urmila Matondkar,Nana Patekar,75,32,826,22679,3558,149,642,773,28.64,6.5
Bhoot and Friends,2010,133,"Animation, Action, Adventure",96,Karanjeet Saluja,Nishikant Dixit,Ashish Kattar,Faiz Khan,148,265,989,35965,2654,144,830,11000,66.36,5.8
Bhoot Bungla,1965,145,"Comedy, Horror, Mystery",106,Mehmood,Mehmood,Tanuja,Nasir Hussain,549,729,8000,205284,9578,439,727,22000,33.4,6.5
Bhoot Ka Darr,1999,85,Horror,9,S. Gawli,Sapna Sappu,Junior Amitabh Bachchan,Jyoti Rana,123,30,742,62421,2341,185,360,10000,122.51,4
Bhoot Returns,2012,85,"Horror, Mystery, Thriller",513,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma,64,30,962,28649,2390,185,593,2000,83.64,2.5
Bhoot: Part One - The Haunted Ship,2020,114,"Horror, Mystery, Thriller",4236,Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij,111,13000,40000,357581,42330,588,967,16000,1.91,5.4
Bhoothnath Returns,2014,155,"Comedy, Drama, Fantasy",5030,Nitesh Tiwari,Amitabh Bachchan,Boman Irani,Parth Bhalerao,151,17,11000,44723,21852,130,10000,51000,83.3,6.6
Bhootnath,2008,150,"Comedy, Drama, Family",8460,Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Satish Shah,81,24,15000,4654,18786,46,1000,18000,23.01,6.3
Bhootnath,1963,129,Adventure,60,Nanabhai Bhatt,Mohan Choti,Vijaya Choudhury,Rajan Haksar,99,64,3000,50415,6539,613,869,806,143.62,6.5
Bhopal Express,1999,100,Drama,367,Mahesh Mathai,Kay Kay Menon,Nethra Raghuraman,Zeenat Aman,80,2,1000,13324,3402,79,677,302,0.03,7.1
Bhopal: A Prayer for Rain,2014,96,Drama,1968,Ravi Kumar,Martin Sheen,Mischa Barton,Kal Penn,364,151,1000,61114,3869,212,1000,22000,34.3,7.2
Bhopali,2011,89,"Documentary, History, News",58,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee,140,19,526,25960,1383,389,392,1000,13.3,8
Bhor: Dawn,2018,93,Drama,147,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel,89,25,304,13319,575,53,253,347,60.44,7.8
Bhouri,2016,140,Drama,403,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand,61,132,1000,18915,2851,87,465,33000,25,6.7
Bhrashtachar,1989,153,"Action, Crime, Drama",119,Ramesh Sippy,Rekha,Mithun Chakraborty,Anupam Kher,474,310,745,195333,1058,409,168,80000,34.96,4.6
Bhuddah Hoga Tera Baap,2011,114,"Action, Comedy, Crime",2782,Puri Jagannadh,Amitabh Bachchan,Hema Malini,Sonu Sood,131,70,4000,38658,5746,284,884,930,,5.6
Bhumika,1977,142,Drama,585,Shyam Benegal,Smita Patil,Anant Nag,Naseeruddin Shah,90,20,889,18481,2110,230,877,4000,67.52,7.4
Bhuvan Shome,1969,96,"Comedy, Drama",400,Mrinal Sen,Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee,333,210,978,79461,1454,463,191,10000,85.46,7.5
Bichhoo,2000,160,"Action, Crime, Drama",2807,Guddu Dhanoa,Bobby Deol,Rani Mukerji,Ashish Vidyarthi,122,82,759,39095,2898,187,401,16000,152.64,5
Bidaai,1974,144,"Drama, Musical, Romance",54,L.V. Prasad,Jeetendra,Leena Chandavarkar,Durga Khote,156,189,2000,54242,4662,145,1000,14000,42.72,6.5
Bidyapati,1937,141,Drama,23,Debaki Bose,Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi,282,34,383,35131,1945,255,333,16000,,7
Big Brother,2007,128,"Action, Crime, Drama",781,Guddu Dhanoa,Sunny Deol,Priyanka Chopra Jonas,Vikas Anand,153,92,31000,50337,34319,177,881,13000,34.53,3.8
Bijuka,2012,74,Drama,22,Ashtar Sayed,Arti Rautela,Amit Purohit,Janardhan Mishra,324,835,11000,136673,13189,281,896,10000,2.28,6.4
Billa No. 786,2000,140,Action,34,Imran Khalid,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,122,58,141,12276,389,117,76,21000,88.92,4.4
Billa Ranga,1982,113,"Action, Crime, Family",53,K.S.R. Das,Chiranjeevi,Mohan Babu,Radhika Sarathkumar,161,12,786,55008,2462,93,651,21000,58.72,7.5
Billoo Baadshah,1989,148,"Action, Crime, Drama",41,Sisir Misra,Shatrughan Sinha,Anita Raj,Govinda,174,350,1000,143137,3141,602,960,10000,0.81,4.5
Billu,2009,137,"Comedy, Drama",11078,Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri,31,154,1000,9845,3174,77,816,613,34.01,6.2
Billu Ustaad,2018,138,Drama,26,Suvahhdan Angre,Neel Bakshi,Sneha Arun,Abhishek Bardia,273,1000,14000,666937,19364,1514,4000,52000,3.45,6.9
Bin Badal Barsaat,1963,154,"Drama, Musical, Mystery",31,Jyoti Swaroop,Asha Parekh,Biswajit Chatterjee,Nishi,427,1000,177,185587,278,401,55,49000,177,5.7
Bin Bulaye Baraati,2011,133,"Action, Comedy, Crime",255,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj,93,26,720,15877,3327,102,669,590,58.61,3.8
Bin Maa Ke Bachche,1980,131,Drama,17,Satyen Bose,Bindu,Leela Chitnis,Raju Desai,94,15,3000,32951,4257,44,775,6000,,6
Bin Phere Free Me Tere,2013,131,Comedy,22,Manoj Sharma,Ashrita Agarwal,Arsh Deol,Manoj Joshi,120,212,960,39541,3261,334,917,3000,14.44,4.5
Bindiya Chamkegi,1984,139,"Comedy, Family",18,Tarun Dutt,Rekha,Vinod Mehra,Johnny Walker,59,835,1000,34774,3598,162,967,1000,117.14,5.1
Bindiya Mange Bandook,2001,115,Action,8,Sanju K. Gupta,Joginder Shelly,Pinky Chinoy,Mohan Joshi,290,13000,606,422432,1885,1040,332,18000,7.77,3.9
Bioscopewala,2017,91,Drama,882,Deb Medhekar,Danny Denzongpa,Geetanjali Thapa,Adil Hussain,13,15,691,2061,1761,34,374,501,75.64,7.6
Biradari,1966,139,Drama,33,Ram Kamlani,Shashi Kapoor,Faryal,Pran,110,480,970,26100,4374,97,931,484,0.08,5.9
Biraj Bahu,1954,145,Drama,51,Bimal Roy,Kamini Kaushal,Abhi Bhattacharya,Shakuntala,173,83,991,49888,2173,220,494,25000,,6.2
Bitch,2017,82,"Adventure, Comedy, Drama",11,Csaba Bene Perlenberg,Amanda Ooms,Lars-Erik Berenett,Anders Granstr�m,77,2,787,13210,2915,138,555,269,82.23,5.5
Bitter Chestnut,2019,100,Drama,27,Gurvinder Singh,Bhankheri Devi,Rani Devi,Gopi Katwal,350,308,17000,348010,44061,1535,12000,19000,0.07,7.1
Bittoo Boss,2012,116,Romance,365,Supavitra Babul,Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra,81,13,651,14147,2698,92,555,401,36.84,4.1
Biwi Aur Makan,1966,126,Comedy,45,Hrishikesh Mukherjee,Biswajit Chatterjee,Mehmood,Shabnam,81,143,302,23076,1189,158,216,1000,0.79,6.9
Biwi Ho To Aisi,1988,149,"Comedy, Drama",857,J.K. Bihari,Rekha,Farooq Shaikh,Bindu,27,126,940,6484,1934,100,208,1000,85.02,5.8
Biwi No. 1,1999,159,"Comedy, Drama, Romance",5464,David Dhawan,Karisma Kapoor,Salman Khan,Anil Kapoor,289,4,788,82082,1414,236,447,10000,,5.7
Biwi-O-Biwi,1981,156,"Comedy, Romance",206,Rahul Rawail,Sanjeev Kumar,Randhir Kapoor,Poonam Dhillon,76,272,1000,26390,1189,176,87,713,2.21,7
Black,2005,122,Drama,33782,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,67,11000,1000,29385,4302,86,979,979,70.08,8.2
Black & White,2008,134,"Crime, Drama, Thriller",570,Subhash Ghai,Anil Kapoor,Anurag Sinha,Shefali Shah,149,176,3000,24019,3431,199,268,983,0.12,6.2
Black Cat,1959,154,"Action, Thriller, Mystery",25,Nisar Ahmad Ansari,Balraj Sahni,Minoo Mumtaz,Johnny Walker,64,394,922,21542,2880,88,855,977,3.64,6.7
Black Friday,2004,143,"Action, Crime, Drama",19493,Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav,390,198,17000,92237,20258,366,1000,25000,64.15,8.5
Black Home,2015,105,"Drama, Thriller",23,Ashish Deo,Ashutosh Rana,Chitrashi Rawat,Murli Sharma,5,18,400,6701,1151,26,220,444,27.29,7.4
Black Mountain,1971,83,"Drama, Family, Fantasy",24,M.S. Sathyu,Aleksandr Zguridi,Reshama Pasha,Prince Pradeep,81,4,2000,16372,4843,121,1000,311,200.07,6.6
Black Rose,2020,120,Thriller,38,Hemant N Mishra,Samiksha Bhatnagar,Rahul Chawla,Abhilash Dada,175,53,14000,61360,16926,129,1000,25000,281.28,8.6
Blackboard vs Whiteboard,2019,152,"Action, Family",43,Tarun s Bisht,Dharmendra,Alismita Goswami,Pankaj Jha,20,277,22000,17349,24887,42,2000,855,47.54,5.4
Blackmail,1973,145,"Drama, Musical, Romance",199,Vijay Anand,Dharmendra,Rakhee Gulzar,Shatrughan Sinha,160,52,22000,49855,23409,117,1000,10000,0.02,6.7
Blackmail,2005,126,"Action, Drama, Thriller",618,Anil Devgan,Ajay Devgn,Sunil Shetty,Priyanka Chopra Jonas,72,10,688,21933,1019,76,99,676,,4.1
Blackmail,2018,138,"Comedy, Thriller",9671,Abhinay Deo,Irrfan Khan,Kirti Kulhari,Urmila Matondkar,53,10,716,9785,2700,26,537,233,16.38,7.1
Blank,2019,107,"Action, Thriller",933,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma,76,54,786,6838,2730,117,567,924,51.78,6.2
Blood Money,2012,109,"Action, Crime, Drama",981,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri,15,189,683,3454,2172,64,641,548,50.46,5
Blue,2009,119,"Action, Adventure, Mystery",4674,Anthony D'Souza,Akshay Kumar,Sanjay Dutt,Lara Dutta,31,3,787,3851,2185,114,690,346,,3.7
Blue Mountains,2017,134,"Drama, Family, Musical",51,Suman Ganguli,Sapna Awasthi,Nitin Bali,Amit Behl,45,119,885,8560,2907,205,816,797,,5.7
Blue Oranges,2009,114,Mystery,201,Rajesh Ganguly,Rajit Kapoor,Aham Sharma,Pooja Kanwal,58,29,1000,18571,4218,120,794,847,0.22,6.5
"Blue Skies, Green Waters, Red Earth",2013,137,"Adventure, Drama, Romance",3446,Sameer Thahir,Dulquer Salmaan,Sunny Wayne,Bala Hijam,103,608,1000,10037,1690,202,452,608,148.21,7.7
Bluff Master,1963,135,Romance,112,Manmohan Desai,Shammi Kapoor,Saira Banu,Niranjan Sharma,45,38,1000,15978,5705,122,1000,15000,0.18,6.5
Bluffmaster,2005,137,"Comedy, Crime, Drama",5950,Rohan Sippy,Abhishek Bachchan,Priyanka Chopra Jonas,Riteish Deshmukh,116,150,18000,24997,21200,75,1000,13000,0.32,6.6
Bobby,1973,168,"Comedy, Musical, Romance",1776,Raj Kapoor,Dimple Kapadia,Rishi Kapoor,Pran,148,892,310,37626,838,521,294,1000,,7.1
Bobby Jasoos,2014,121,"Comedy, Drama, Thriller",2189,Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A,79,650,690,11958,1573,39,224,1000,83.81,5.5
Bobby: Love and Lust,2005,125,Romance,37,Rakesh Parmaar,Usha Bachani,Monalisa,Hyder Kazmi,25,329,1000,6904,3493,102,912,971,0.07,4.8
Bodyguard,2011,130,"Action, Comedy, Drama",23602,Siddique,Salman Khan,Kareena Kapoor,Raj Babbar,174,6000,893,221552,2710,570,851,11000,300.52,4.7
Boichek,2017,85,"Drama, Thriller",24,Santosh Sivan,Chandra Shekhar Dutta,Sugandha Garg,Brijendra Kala,69,22,572,4293,1776,53,548,235,,6.3
Bol Bachchan,2012,155,"Action, Comedy",8367,Rohit Shetty,Amitabh Bachchan,Abhishek Bachchan,Ajay Devgn,26,42,801,2998,1462,74,174,1000,13.99,5.5
Bol Radha Bol,1992,164,"Action, Comedy, Crime",760,David Dhawan,Rishi Kapoor,Juhi Chawla,Kader Khan,28,121,836,4518,2467,66,624,241,42,6.1
Bole India Jai Bhim,2016,150,Biography,20,Subodh Nagdeve,Shyam Bhimsaria,Sameer Deshpande,Jeetendra Doshi,146,110,23000,261317,25088,1137,876,20000,,7.9
Bollywood Diaries,2016,125,Drama,257,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi,67,55,991,8087,1003,33,10,1000,116.63,6
Bollywood Villa,2014,124,Thriller,12,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia,93,115,9000,16215,11433,138,1000,401,0.03,4.8
Bollywood: The Greatest Love Story Ever Told,2011,81,Documentary,115,Rakeysh Omprakash Mehra,Jeff Zimbalist,Amitabh Bachchan,Aishwarya Rai Bachchan,28,12,979,14015,1978,83,532,831,60.52,6.1
Bolo Raam,2009,103,"Action, Crime, Drama",85,Rakesh Chaturvedi Om,Rishi Bhutani,Disha Pandey,Padmini Kolhapure,105,78,488,13727,991,79,336,973,0.15,5.2
Bomb Blast,1993,153,"Action, Thriller",25,Deepak Balraj Vij,Ronit Roy,Aditya Pancholi,Kishori Shahane,21,25,18000,2613,20354,46,723,445,6.74,6.4
Bombai Ka Babu,1960,154,"Drama, Musical, Romance",154,Raj Khosla,Dev Anand,Suchitra Sen,Jeevan,9,58,699,3843,1592,25,533,399,82.62,7
Bombairiya,2019,104,"Comedy, Crime, Drama",381,Pia Sukanya,Radhika Apte,Akshay Oberoi,Siddhant Kapoor,8,8,106,7147,182,16,56,136,95.33,4.5
Bombay 405 Miles,1980,164,"Comedy, Action",83,Brij,Zeenat Aman,Vinod Khanna,Shatrughan Sinha,42,3,14000,9868,15612,81,506,217,1.29,6.9
Bombay Boys,1998,105,"Comedy, Crime, Drama",557,Kaizad Gustad,Naveen Andrews,Rahul Bose,Alexander Gifford,29,10,483,5154,1113,29,472,314,36.06,6.5
Bombay Rose,2019,97,"Animation, Drama, Romance",480,Gitanjali Rao,Cyli Khare,Amit Deondi,Gargi Shitole,2,2,729,50,1092,3,282,70,26.05,6
Bombay Talkies,2013,127,Drama,5124,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap,120,17,12000,43879,16355,133,991,11000,40.17,6.7
Bombay to Bangkok,2008,120,"Comedy, Crime, Romance",417,Nagesh Kukunoor,Shreyas Talpade,Lena Christensen,Vijay Maurya,286,52,3000,160418,5547,296,957,16000,40.98,4.6
